DAY;PARTICIPANT;PHASE OF THE DAY;ENVIRONMENT;LIGHT;SCENARIO;SKY CONDITION;TIME AND DATE;mEDI;? ALPHA AVG.;? BETA LOW AVG.;? GAMMA AVG.
1;3;17.52;VR;DL;EXP;HAZY;DAY;130;15,2237;12,2610;12,3942
1;3;17.53;VR;DL;CONT;HAZY;DAY;136;10,1725;8,7930;10,7221
1;3;17.55;VR;DL;ACT;HAZY;DAY;137;11,3543;11,0325;15,3668
1;3;17.56;VR;DL+EL;CONT;HAZY;DAY;377;21,0092;18,4981;23,8874
1;3;17.58;VR;DL+EL;EXP;HAZY;DAY;391;9,5781;7,5541;8,3525
1;3;17.59;VR;DL+EL;CONT;HAZY;DAY;368;11,1144;8,0459;8,7107
1;3;18.01;VR;DL+EL;ACT;HAZY;DAY;368;13,6776;11,8851;15,2018
1;4;19.10;RE;DL;CONT;Partly Cloudy, Obscured Sun;Evening civil twilight;105;14,3627;8,4800;8,3085
1;4;19.11;RE;DL;EXP;Partly Cloudy, Obscured Sun;Evening civil twilight;98;12,5895;9,3059;9,1967
1;4;19.13;RE;DL;CONT;Partly Cloudy, Obscured Sun;Evening civil twilight;89;15,7385;7,9761;4,2236
1;4;19.14;RE;DL;ACT;Partly Cloudy, Obscured Sun;Evening civil twilight;81;12,8896;10,8661;10,2985
1;4;19.16;RE;DL+EL;CONT;Partly Cloudy, Obscured Sun;Evening civil twilight;242;16,2988;8,4260;5,0401
1;4;19.18;RE;DL+EL;EXP;Partly Cloudy, Obscured Sun;Evening civil twilight;239;11,8329;7,7396;4,1553
1;4;19.19;RE;DL+EL;CONT;Partly Cloudy, Obscured Sun;Evening civil twilight;236;16,8290;8,7320;3,4495
1;4;19.21;RE;DL+EL;ACT;Partly Cloudy, Obscured Sun;Evening civil twilight;230;11,2414;8,0434;6,4592
1;4;19.30;VR;DL;CONT;---;NIGHT;0;13,7709;8,7543;6,9982
1;4;19.32;VR;DL;EXP;---;NIGHT;0;12,5787;9,8326;10,3054
1;4;19.33;VR;DL;CONT;---;NIGHT;0;16,8530;10,1989;8,9276
1;4;19.35;VR;DL;ACT;---;NIGHT;0;14,2059;12,5161;13,0786
1;4;19.37;VR;DL+EL;CONT;HAZY;NIGHT;276;17,0676;9,9386;8,5539
1;4;19.39;VR;DL+EL;EXP;HAZY;NIGHT;278;12,9676;9,6156;10,8509
1;4;19.40;VR;DL+EL;CONT;HAZY;NIGHT;278;15,8941;9,4668;7,6655
1;4;19.42;VR;DL+EL;ACT;HAZY;NIGHT;280;13,8947;11,6736;12,6330
2;5;11.25;RE;DL;CONT;CIE Standard Overcast Sky;Day;189;10,2388;7,0869;4,6038
2;5;11.26;RE;DL;EXP;CIE Standard Overcast Sky;Day;173;10,4433;8,6212;9,3121
2;5;11.28;RE;DL;CONT;CIE Standard Overcast Sky;Day;164;9,8945;6,1449;2,9719
2;5;11.29;RE;DL;ACT;CIE Standard Overcast Sky;Day;157;10,6844;9,2308;8,8789
2;5;11.31;RE;DL+EL;CONT;CIE Standard Overcast Sky;Day;331;10,3821;5,9551;2,0774
2;5;11.32;RE;DL+EL;EXP;CIE Standard Overcast Sky;Day;331;11,4263;8,4787;8,5353
2;5;11.35;RE;DL+EL;CONT;CIE Standard Overcast Sky;Day;329;10,8005;5,8942;2,0984
2;5;11.37;RE;DL+EL;ACT;CIE Standard Overcast Sky;Day;327;11,6277;9,5723;8,4173
2;5;11.40;VR;DL;CONT;OVERCAST;DAY;544;6,7450;5,5472;3,5572
2;5;11.41;VR;DL;EXP;OVERCAST;DAY;528;14,9452;12,1335;13,8340
2;5;11.43;VR;DL;CONT;OVERCAST;DAY;543;9,3176;6,0703;4,3751
2;5;11.44;VR;DL;ACT;OVERCAST;DAY;555;20,5087;18,7277;24,0703
2;5;11.47;VR;DL+EL;CONT;OVERCAST;DAY;802;16,9342;13,3433;15,4165
2;5;11.49;VR;DL+EL;EXP;OVERCAST;DAY;784;13,7862;10,3530;12,6833
2;5;11.50;VR;DL+EL;CONT;OVERCAST;DAY;841;12,1859;7,9812;5,2034
2;5;11.52;VR;DL+EL;ACT;OVERCAST;DAY;808;14,1178;12,3868;15,6498
2;6;12.50;RE;DL;CONT;CIE Standard Overcast Sky;Day;297;9,3926;6,3034;11,5958
